ngo_description,category,urgency_level
Critical alert: sanitation workers not deployed in Dombivli after floods pls fix,hygiene,Critical
Please fix pls library books destroyed by flood in Satara City school,education,Medium
CRITICAL: temporary shelter disrupting schooling for 150 kids is creating inconvenience,education,Critical
"Immediate attention needed for unsanitary conditions, people are affected",medical,Critical
Ongoing issue with no cooking fuel available for families at Akola Rural shelter,food,Low
"Elderly man with no identification unable to access relief in Kalamb, needs attention soon",elderly support,High
Sewage overflow contaminating water supply in Nanded City,hygiene,Medium
Group home for elderly in Waluj has no generator or backup power,elderly support,Critical
"Issue with overflowing dustbin, needs attention soon",hygiene,Medium
Please fix oxygen cylinder shortage reported at health post in Latur Camp,medical,Medium
S3n10r c1t1z3ns unabl3 t0 stand 1n r3l13f l1n3 1n Parl1,elderly support,High
Kindly address elderly residents of Bibwewadi left alone after family evacuation and it has been like this for days,elderly support,Medium
Follow up needed on cracked walls in housing block posing danger to residents,shelter,Medium
Life threatening: child vaccination drive cancelled due to floods,medical,Critical
Emergency helpline not working for residents of Bhiwandi pls fix,disaster relief,High
Issue with san1tat10n v0lunt33rs r3fus3d 3ntry t0 Akkalk0t w1th0ut r3as0n,hygiene,Medium
Construction of relief houses stalled in Belapur for 9 days,shelter,Critical
SOS: open defecation in Ausa posing serious health risk pls fix,hygiene,Critical
Critical alert: skin disease spreading among relief camp residents,medical,Critical
Child vaccination drive cancelled due to floods and it has been like this for days,medical,Medium
"Government school in Phaltan being used as shelter, no classes held the whole neighborhood is complaining",education,Low
"No digital access for students during recovery period in Walwa, needs attention soon",education,High
"Please fix chemical factory spill near Murud causing panic and illness, needs attention soon",disaster relief,Medium
"Issue with huge damaged road blocking access to shelters, needs attention soon pls fix",shelter,Medium
For attention: fire broke out in temporary camp destroying belongings in Jalgaon City and it has been like this for days,shelter,Low
Emergency: pls abandoned elderly person in Belapur needs immediate care,elderly support,Critical
Emergency: pls community kitchen shut down due to lack of funds,food,Critical
Pls blood bank in Dombivli running critically low on supplies,medical,Critical
Minor concern: burn injury victim in kalamnuri needs urgent referral to hospital,medical,Low
Kindly address l1brary b00ks d3str0y3d by fl00d 1n Andh3r1 East sch00l,education,Medium
"Alert: no toilets available at relief camp for 150 families, needs attention soon",hygiene,High
Group of 15 elderly survivors in Akot need urgent shelter,elderly support,Critical
Life threatening: teachers unreachable after cyclone in dahisar,education,Critical
"Anganwadi worker missing after flood, pre-school closed in Akola City",education,Critical
Requires immediate response: relief camp in Shirpur overcrowded with 10 families is creating inconvenience,shelter,Critical
Pls toilets at Badnera camp not cleaned for 2 days,hygiene,High
"School uniform and shoes lost in flooding, children embarrassed to attend",education,High
"Anganwadi centre in Andheri East closed, children going without meals",food,Medium
"Anganwadi worker missing after flood, pre-school closed in Bibwewadi",education,Low
Emergency: no blankets or mats provided to flood survivors,shelter,Critical
Oxygen cylinder shortage reported at health post in Ghatkopar pls fix,medical,Critical
SOS: infant formula shortage reported at relief centre,food,Critical
No physiotherapy or rehabilitation support for elderly in Washim camp,elderly support,Low
Pls just informing mosquito problem,medical,Low
FYI: no early warning system in Tuljapur vulnerable village,disaster relief,Low
No physiotherapy or rehabilitation support for elderly in Pusad camp,elderly support,High
Serious issue: abandoned elderly person in Chandrapur City needs immediate care,elderly support,High
Please escalate: diabetic patients not receiving appropriate diet support pls fix,food,High
"Volunteer teachers needed urgently at relief camp school, needs attention soon",education,High
Senior citizens in Kandhar not transported to hospital despite requests,elderly support,Low
Please look into n0 sp3c1al car3 pr0v1d3d t0 3ld3rly at r3l13f camp,elderly support,Medium
CRITICAL: disaster response team yet to reach Mira Road after 9 days the whole neighborhood is complaining,disaster relief,Critical
Just informing water leak leaving families without supplyage in pipe,food,Low
No handwashing stations at food distribution point,hygiene,High
High priority: outbr3ak 0f f3v3r cas3s r3p0rt3d 1n V1khr0l1 w1th n0 m3d1cal t3am,medical,High
Dangerous situation: cyclone shelter in Kurkheda not opened despite warning,disaster relief,Critical
Stagnant wat3r br33d1ng m0squ1t03s 1n S1nnar lan3s,hygiene,Critical
Homeless individuals with no access to relief shelters in Hingna,shelter,Medium
"Please escalate: government relief camp in Wanowrie shut prematurely, families still displaced, needs attention soon",disaster relief,High
Students without notebooks or materials after disaster,education,Critical
There is senior residents facing cold nights without blankets in Indapur is creating inconvenience,elderly support,Low
Temporary shelter disrupting schooling for 10 kids the whole neighborhood is complaining,education,Medium
Food distribution camp in Balapur has run out of supplies and it has been like this for days,food,High
Please escalate: pls no physiotherapy or rehabilitation support for elderly in Deoli camp,elderly support,High
Follow up needed on shortage of medicines at Purna PHC causing distress,medical,Medium
No toilets available at relief camp for 100 families pls fix,hygiene,Critical
Escalating: night soil collected manually and dumped near Khed camp pls fix,hygiene,High
"Critical alert: differently-abled student in Malad unable to access ramp or support, needs attention soon",education,Critical
Kindly address temporary shelter in Purna dismantled before permanent housing arranged and it has been like this for days,shelter,Medium
HIV patients in Akkalkuwa unable to access antiretroviral drugs,medical,Critical
Just informing huge damaged road blocking access to shelters,shelter,Low
Emergency: senior residents facing cold nights without blankets in Arvi the whole neighborhood is complaining,elderly support,Critical
Dropout rate rising among migrant children in Nagpur West,education,Medium
"Please fix anganwadi worker missing after flood, pre-school closed in Indapur is creating inconvenience",education,Medium
Elderly man with no identification unable to access relief in Murtajapur the whole neighborhood is complaining,elderly support,Low
"Needs attention: school uniform and shoes lost in flooding, children embarrassed to attend pls fix",education,Medium
Needs attention: fire broke out in temporary camp destroying belongings in Osmanabad,shelter,Medium
